City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Goderich,43.7501,-81.7165,57.52,77,7,6.91,clear sky
1,Vallenar,-28.5708,-70.7581,58.5,68,0,1.99,clear sky
2,East London,-33.0153,27.9116,60.01,76,10,7.11,clear sky
3,Bluff,-46.6,168.3333,49.8,75,99,31.21,overcast clouds
4,Bengkulu,-3.8004,102.2655,80.6,78,93,2.13,overcast clouds
5,Punta Arenas,-53.15,-70.9167,41.11,75,90,6.91,overcast clouds
6,Hermanus,-34.4187,19.2345,53.91,83,100,3.02,overcast clouds
7,Saint-Agapit,46.5629,-71.4352,57.47,96,26,5.39,scattered clouds
8,Nehe,48.4833,124.8333,52.63,84,100,3.65,overcast clouds
9,Hilo,19.7297,-155.09,81.28,91,40,1.01,light rain
10,Souillac,-20.5167,57.5167,71.37,94,75,3.44,light rain
11,Balabac,7.9868,117.0645,83.48,74,99,3.87,overcast clouds
12,Tuatapere,-46.1333,167.6833,48.81,76,85,16.6,overcast clouds
13,Qaanaaq,77.484,-69.3632,14.61,69,25,8.46,scattered clouds
14,Isiolo,0.3546,37.5822,66.67,67,33,8.77,scattered clouds
15,Chapais,49.7834,-74.8492,55.18,85,100,14.05,overcast clouds
16,Bathsheba,13.2167,-59.5167,83.01,78,40,10.36,scattered clouds
17,Chuy,-33.6971,-53.4616,55.8,97,35,7.11,scattered clouds
18,Broome,42.2506,-75.833,58.35,74,1,4.0,clear sky
19,Avarua,-21.2078,-159.775,77.05,53,96,6.91,overcast clouds
20,Dodoma,-6.1722,35.7395,62.44,81,5,9.55,clear sky
21,Jamestown,42.097,-79.2353,56.84,80,1,1.01,clear sky
22,Laguna,38.421,-121.4238,95.23,20,1,8.05,smoke
23,Sorland,67.667,12.6934,48.76,76,100,13.24,overcast clouds
24,Mataura,-46.1927,168.8643,49.48,95,94,12.19,overcast clouds
25,Yerbogachen,61.2767,108.0108,41.29,74,100,6.2,overcast clouds
26,Rikitea,-23.1203,-134.9692,73.89,79,100,16.96,light rain
27,Ekimchan,53.0667,132.9667,52.09,76,100,0.29,overcast clouds
28,Port Blair,11.6667,92.75,82.04,80,97,13.94,overcast clouds
29,Castro,-24.7911,-50.0119,56.86,92,42,5.64,scattered clouds
30,Barrow,71.2906,-156.7887,30.22,80,90,3.44,overcast clouds
31,Mahebourg,-20.4081,57.7,71.26,94,75,3.44,light rain
32,Cap Malheureux,-19.9842,57.6142,71.47,74,45,5.99,light rain
33,Saskylakh,71.9167,114.0833,32.11,86,100,13.91,overcast clouds
34,Pangnirtung,66.1451,-65.7125,32.45,53,13,3.27,few clouds
35,Bredasdorp,-34.5322,20.0403,47.52,93,96,4.61,overcast clouds
36,Fort Nelson,58.8053,-122.7002,62.19,42,75,8.05,broken clouds
37,Kiunga,-6.1219,141.2906,81.77,77,90,3.58,light rain
38,Saint-Philippe,-21.3585,55.7679,71.15,82,2,10.56,clear sky
39,Torbay,47.6666,-52.7314,47.57,84,75,4.61,broken clouds
40,Manado,1.487,124.8455,86.77,74,40,1.14,scattered clouds
41,Benguela,-12.5763,13.4055,72.27,81,8,4.92,clear sky
42,Iwanai,42.9744,140.5089,66.18,49,3,4.38,clear sky
43,Klaksvik,62.2266,-6.589,43.72,71,100,6.82,overcast clouds
44,Kloulklubed,7.0419,134.2556,81.1,87,100,24.2,overcast clouds
45,Xining,36.6167,101.7667,59.7,65,100,4.23,overcast clouds
46,Albany,42.6001,-73.9662,58.64,83,2,2.28,clear sky
47,Butaritari,3.0707,172.7902,83.73,73,12,10.83,few clouds
48,Itoman,26.1247,127.6694,86.4,70,40,11.5,scattered clouds
49,Luderitz,-26.6481,15.1594,59.09,65,40,10.36,scattered clouds
50,Clarence Town,-32.5833,151.7833,80.06,27,0,6.73,clear sky
51,Gazimurskiy Zavod,51.5461,118.3266,57.29,50,36,3.85,scattered clouds
52,Coihaique,-45.5752,-72.0662,53.55,66,75,5.75,broken clouds
53,Kerrville,30.0474,-99.1403,75.54,46,1,3.44,clear sky
54,Khatanga,71.9667,102.5,32.61,83,100,8.66,overcast clouds
55,Vestmannaeyjar,63.4427,-20.2734,42.6,78,88,3.04,overcast clouds
56,Isangel,-19.55,169.2667,75.31,78,75,0.0,light rain
57,Rochegda,62.8,43.25,45.57,96,100,5.19,overcast clouds
58,Cuaspud,0.8628,-77.7263,45.91,97,62,4.92,broken clouds
59,Ponta Do Sol,32.6667,-17.1,69.71,71,1,0.43,clear sky
60,Poum,-20.2333,164.0167,71.76,67,21,2.95,few clouds
61,Gazanjyk,39.2446,55.5154,67.82,67,0,2.35,clear sky
62,Ushuaia,-54.8,-68.3,38.86,87,75,0.0,light intensity drizzle
63,Simao,22.7886,100.9748,67.55,95,100,0.65,overcast clouds
64,Uaua,-9.8414,-39.4817,70.27,81,6,14.27,clear sky
65,Lingao,19.9103,109.6859,84.99,75,35,14.72,scattered clouds
66,Susurluk,39.9136,28.1578,54.84,49,73,4.85,broken clouds
67,Dikson,73.5069,80.5464,36.07,88,100,16.53,overcast clouds
68,Esmeraldas,-19.7625,-44.3139,69.04,54,68,10.65,broken clouds
69,Colares,38.7992,-9.4469,67.33,76,18,1.01,few clouds
70,Makat,47.6469,53.3463,60.84,45,100,6.55,overcast clouds
71,Kulhudhuffushi,6.6221,73.07,81.52,75,100,15.26,overcast clouds
72,Cabedelo,-6.9811,-34.8339,75.87,85,29,12.41,scattered clouds
73,Tuktoyaktuk,69.4541,-133.0374,35.6,93,90,18.41,light rain
74,Kapaa,22.0752,-159.319,82.38,81,75,1.01,moderate rain
75,Nanortalik,60.1432,-45.2371,36.39,65,3,8.97,clear sky
76,Rio Grande,-32.035,-52.0986,56.16,95,11,10.0,few clouds
77,Balykshi,47.0667,51.8667,51.8,87,40,20.13,scattered clouds
78,Hirara,24.8,125.2833,85.86,79,40,12.66,scattered clouds
79,Constitucion,-35.3333,-72.4167,52.14,90,4,5.48,clear sky
80,Sao Filipe,14.8961,-24.4956,78.24,73,100,5.35,overcast clouds
81,Lorengau,-2.0226,147.2712,85.17,67,100,10.67,overcast clouds
82,Mahibadhoo,3.7833,72.9667,81.84,71,100,13.85,overcast clouds
83,Bethel,41.3712,-73.414,62.49,90,0,2.8,clear sky
84,Hobart,-42.8794,147.3294,50.05,62,20,5.01,few clouds
85,Puerto Ayora,-0.7393,-90.3518,69.73,88,96,6.13,overcast clouds
86,San Cristobal,7.7669,-72.225,75.38,97,100,3.65,overcast clouds
87,Kavaratti,10.5669,72.642,81.55,78,100,14.25,overcast clouds
88,Port Elizabeth,-33.918,25.5701,50.29,93,0,2.3,clear sky
89,Olinda,-8.0089,-34.8553,76.73,78,75,11.5,broken clouds
90,Yellowknife,62.456,-114.3525,46.92,90,75,16.11,light rain
91,Belaya Gora,68.5333,146.4167,38.07,67,100,15.19,overcast clouds
92,Thompson,55.7435,-97.8558,42.96,93,90,5.75,overcast clouds
93,Waingapu,-9.6567,120.2641,84.76,54,22,9.98,few clouds
94,Carnarvon,-24.8667,113.6333,71.67,64,1,13.8,clear sky
95,Tiksi,71.6872,128.8694,33.33,77,100,21.32,overcast clouds
96,Namibe,-15.1961,12.1522,65.07,91,70,4.76,broken clouds
97,Atuona,-9.8,-139.0333,77.88,79,100,16.96,overcast clouds
98,Bambous Virieux,-20.3428,57.7575,71.22,94,75,3.44,light rain
99,Meulaboh,4.1363,96.1285,80.87,78,66,4.72,broken clouds
100,Skjervoy,70.0311,20.9714,47.77,81,100,18.43,light rain
101,Abeche,13.8292,20.8324,81.61,59,98,0.96,overcast clouds
102,Hailey,43.5196,-114.3153,64.26,40,1,4.61,clear sky
103,Leshukonskoye,64.8989,45.7622,46.44,95,100,8.32,overcast clouds
104,Cape Town,-33.9258,18.4232,54.27,90,0,4.61,clear sky
105,Denpasar,-8.65,115.2167,82.06,83,40,12.66,scattered clouds
106,Airai,-8.9266,125.4092,77.65,36,25,2.53,scattered clouds
107,Neyshabur,36.2133,58.7958,72.91,14,0,3.18,clear sky
108,Arraial Do Cabo,-22.9661,-42.0278,67.96,83,0,19.57,clear sky
109,Lebu,-37.6167,-73.65,51.64,94,10,2.89,clear sky
110,Norman Wells,65.282,-126.8329,37.44,93,90,12.66,light rain
111,Pryazha,61.6926,33.6216,43.83,94,100,7.16,overcast clouds
112,Tubuala,9.5167,-79.0333,78.33,85,97,3.0,overcast clouds
113,Qasigiannguit,68.8193,-51.1922,25.05,85,89,5.82,overcast clouds
114,Seoul,37.5683,126.9778,71.2,68,0,4.61,clear sky
115,Longyearbyen,78.2186,15.6401,40.84,87,75,1.14,broken clouds
116,Ganzhou,28.8184,115.4327,88.29,61,0,3.36,clear sky
117,Muhos,64.808,25.9931,44.38,85,100,7.23,light rain
118,Husavik,66.0449,-17.3389,35.51,92,100,6.64,overcast clouds
119,Jacareacanga,-6.2222,-57.7528,70.02,95,96,0.63,light rain
120,Korla,41.7597,86.1469,63.55,26,0,6.13,clear sky
121,Busselton,-33.65,115.3333,59.09,58,3,17.27,clear sky
122,Urzhum,57.1141,49.9996,45.05,92,100,12.01,light rain
123,Saldanha,-33.0117,17.9442,55.87,86,100,4.25,overcast clouds
124,Vaini,-21.2,-175.2,75.36,69,20,14.97,few clouds
125,Cherskiy,68.75,161.3,35.6,85,100,11.63,overcast clouds
126,Clinton,42.587,-82.9199,64.72,78,1,6.91,clear sky
127,Hithadhoo,-0.6,73.0833,82.44,72,99,13.76,overcast clouds
128,Eyl,7.9803,49.8164,75.76,81,65,8.23,broken clouds
129,Fortuna,40.5982,-124.1573,61.92,63,1,1.01,clear sky
130,Chicama,-7.8447,-79.1469,59.54,81,20,6.76,few clouds
131,Quatre Cocos,-20.2078,57.7625,72.09,77,71,20.13,light rain
132,Zvishavane,-20.3267,30.0665,58.12,45,0,1.61,clear sky
133,Ganta,7.3022,-8.5308,69.13,99,96,1.16,moderate rain
134,Bilibino,68.0546,166.4372,28.22,86,100,4.76,overcast clouds
135,Hofn,64.2539,-15.2082,37.92,89,100,11.54,overcast clouds
136,Turtas,58.9417,69.1325,34.34,92,5,2.68,clear sky
137,Awbari,26.5921,12.7805,78.17,30,0,7.7,clear sky
138,Rocha,-34.4833,-54.3333,52.18,98,33,3.2,scattered clouds
139,Jaru,-10.4389,-62.4664,84.9,51,98,5.1,overcast clouds
140,Kaka,37.3482,59.6143,82.24,11,0,5.66,clear sky
141,Port Hedland,-20.3167,118.5667,78.85,69,40,10.36,scattered clouds
142,Srednekolymsk,67.45,153.6833,41.4,61,100,10.89,overcast clouds
143,Bossier City,32.516,-93.7321,70.99,69,1,3.44,clear sky
144,Tasiilaq,65.6145,-37.6368,29.73,81,98,7.9,overcast clouds
145,Ocosingo,17.0667,-92.25,62.56,99,98,0.63,overcast clouds
146,San Policarpo,12.1791,125.5072,85.89,71,11,6.15,few clouds
147,Bodden Town,19.2833,-81.25,84.2,84,20,1.01,few clouds
148,Hauterive,46.0901,3.4459,59.76,89,31,3.62,scattered clouds
149,Timra,62.487,17.3257,43.68,99,75,3.44,broken clouds
150,Avera,33.194,-82.5271,62.71,54,0,4.7,clear sky
151,Olean,42.0776,-78.4297,57.78,81,1,0.0,clear sky
152,Saint George,37.1041,-113.5841,90.19,12,1,6.91,clear sky
153,Ndele,8.4109,20.6473,68.13,94,100,4.43,overcast clouds
154,Nikolskoye,59.7035,30.7861,46.87,93,100,7.45,light rain
155,Ust-Tsilma,65.441,52.1498,42.3,84,76,9.06,broken clouds
156,Ancud,-41.8697,-73.8203,50.43,93,100,9.93,overcast clouds
