City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-09-23 01:09:38,-23.1203,-134.9692,74.08,74,0,19.84
1,Ponta Do Sol,PT,2021-09-23 01:09:39,32.6667,-17.1,72.23,65,100,4.56
2,Hamilton,US,2021-09-23 01:06:07,39.1834,-84.5333,56.05,94,90,1.01
3,Punta Arenas,CL,2021-09-23 01:09:39,-53.15,-70.9167,41.11,70,0,17.27
4,Avarua,CK,2021-09-23 01:08:07,-21.2078,-159.775,75.25,60,20,9.22
5,Nikolskoye,RU,2021-09-23 01:09:40,59.7035,30.7861,45.01,84,100,3.62
6,Inuvik,CA,2021-09-23 01:08:45,68.3499,-133.7218,36.57,53,100,11.52
7,Vao,NC,2021-09-23 01:09:41,-22.6667,167.4833,68.86,61,5,20.65
8,Bluff,NZ,2021-09-23 01:09:41,-46.6,168.3333,56.8,73,79,8.97
9,Kozhva,RU,2021-09-23 01:09:41,65.1073,57.0459,32.61,92,1,2.39
10,Itarema,BR,2021-09-23 01:08:19,-2.9248,-39.9167,78.13,83,66,14.43
11,Barrow,US,2021-09-23 01:07:37,71.2906,-156.7887,32.02,69,90,16.11
12,San Luis,AR,2021-09-23 01:09:34,-33.295,-66.3356,57.76,54,9,7.65
13,Yemelyanovo,RU,2021-09-23 01:09:43,56.1681,92.6767,36.41,100,75,2.24
14,Roald,NO,2021-09-23 01:09:43,62.5833,6.1333,53.33,76,75,12.66
15,Carnarvon,AU,2021-09-23 01:09:44,-24.8667,113.6333,71.67,73,58,11.5
16,Vyazma,RU,2021-09-23 01:09:44,55.2104,34.2951,40.42,97,100,3.2
17,Praia Da Vitoria,PT,2021-09-23 01:09:45,38.7333,-27.0667,68.76,83,46,10.36
18,Port Alfred,ZA,2021-09-23 01:07:14,-33.5906,26.891,60.55,77,100,16.8
19,Salalah,OM,2021-09-23 01:07:15,17.0151,54.0924,80.69,83,75,3.44
20,Nanortalik,GL,2021-09-23 01:09:46,60.1432,-45.2371,43.2,99,100,8.63
21,Kapaa,US,2021-09-23 01:09:46,22.0752,-159.319,84.18,72,20,8.01
22,Aloleng,PH,2021-09-23 01:09:46,16.1307,119.7824,82.92,76,100,2.46
23,Atuona,PF,2021-09-23 01:09:47,-9.8,-139.0333,78.12,72,0,17.98
24,Adrar,MR,2021-09-23 01:09:47,20.5022,-10.0711,88.18,19,69,13.33
25,Jamestown,US,2021-09-23 01:09:48,42.097,-79.2353,70.07,98,90,10.0
26,Haines Junction,CA,2021-09-23 01:09:48,60.7522,-137.5108,38.66,88,100,0.85
27,Lagoa,PT,2021-09-23 01:09:48,39.05,-27.9833,69.57,73,0,12.41
28,Leningradskiy,RU,2021-09-23 01:09:49,69.3833,178.4167,27.21,69,100,3.44
29,Aasiaat,GL,2021-09-23 01:09:50,68.7098,-52.8699,15.53,87,60,4.25
30,Pativilca,PE,2021-09-23 01:09:50,-10.7,-77.7833,60.78,89,100,8.66
31,Pevek,RU,2021-09-23 01:09:50,69.7008,170.3133,29.43,65,100,7.67
32,Nouadhibou,MR,2021-09-23 01:08:25,20.931,-17.0347,70.77,83,11,20.15
33,Castro,BR,2021-09-23 01:09:51,-24.7911,-50.0119,48.06,89,95,9.57
34,Harbour Breton,CA,2021-09-23 01:09:51,47.4833,-55.7983,58.75,93,78,15.01
35,Port Moresby,PG,2021-09-23 01:09:52,-9.4431,147.1797,81.99,68,100,10.87
36,La Rioja,ES,2021-09-23 01:06:07,42.25,-2.5,49.48,84,96,3.44
37,Menongue,AO,2021-09-23 01:05:00,-14.6585,17.691,68.58,22,100,5.48
38,Ancud,CL,2021-09-23 01:09:53,-41.8697,-73.8203,50.43,85,99,15.19
39,Vaini,TO,2021-09-23 01:07:15,-21.2,-175.2,78.96,89,40,10.36
40,Neryungri,RU,2021-09-23 01:09:53,56.6709,124.6491,50.72,70,100,4.12
41,Pacifica,US,2021-09-23 01:09:54,37.6138,-122.4869,89.22,82,20,4.0
42,Mahebourg,MU,2021-09-23 01:09:54,-20.4081,57.7,68.25,77,8,12.97
43,Port Macquarie,AU,2021-09-23 01:06:35,-31.4333,152.9167,73.36,40,0,8.19
44,Puerto El Triunfo,SV,2021-09-23 01:09:56,13.2833,-88.55,78.96,82,9,5.06
45,Eyl,SO,2021-09-23 01:09:56,7.9803,49.8164,76.89,82,36,16.08
46,Albany,US,2021-09-23 01:05:43,42.6001,-73.9662,73.67,82,54,11.43
47,Ugoofaaru,MV,2021-09-23 01:09:57,5.6667,73.0,82.92,76,74,13.42
48,Mataura,NZ,2021-09-23 01:07:22,-46.1927,168.8643,56.48,40,100,4.25
49,Alofi,NU,2021-09-23 01:08:29,-19.0595,-169.9187,75.09,69,83,20.07
50,Muros,ES,2021-09-23 01:09:58,42.7762,-9.0603,64.24,76,5,13.38
51,Hobart,AU,2021-09-23 01:09:58,-42.8794,147.3294,62.46,63,75,4.0
52,Luanda,AO,2021-09-23 01:07:30,-8.8368,13.2343,70.02,84,97,4.16
53,Vardo,NO,2021-09-23 01:09:59,70.3705,31.1107,45.12,78,100,25.08
54,Ahipara,NZ,2021-09-23 01:10:00,-35.1667,173.1667,57.72,86,83,16.37
55,Cape Town,ZA,2021-09-23 01:10:01,-33.9258,18.4232,57.88,60,26,3.0
56,Busselton,AU,2021-09-23 01:07:18,-33.65,115.3333,62.1,75,0,12.24
57,Okhotsk,RU,2021-09-23 01:10:01,59.3833,143.3,53.82,62,1,1.54
58,Thinadhoo,MV,2021-09-23 01:10:02,0.5333,72.9333,84.07,71,100,16.4
59,Ushuaia,AR,2021-09-23 01:06:13,-54.8,-68.3,38.86,87,20,0.0
60,Bengkulu,ID,2021-09-23 01:10:04,-3.8004,102.2655,76.87,89,64,2.39
61,Takhtamygda,RU,2021-09-23 01:10:04,54.1,123.5667,52.56,58,100,6.62
62,Canico,PT,2021-09-23 01:10:06,32.6333,-16.85,72.23,75,40,1.01
